item,condition,environment,recon_L12,recon_L14,recon_L16,recon_L18,recon_all_inv,ablate_L12_F56118_unlic,ablate_L14_F33172_unlic,ablate_L16_F44439_unlic,ablate_L18_F30313_unlic,ablate_INV_COMBINED,effect_L12_F56118_unlic,effect_L14_F33172_unlic,effect_L16_F44439_unlic,effect_L18_F30313_unlic,effect_INV_COMBINED
12,A,sentential_negation,-1.4073853492736816,-1.2225170135498047,-1.0283806324005127,-1.0955588817596436,-1.926589846611023,-1.4073853492736816,-1.2225170135498047,-1.0283806324005127,-1.0955588817596436,-1.926589846611023,0.0,0.0,0.0,0.0,0.0
12,B,sentential_negation,-7.369080066680908,-7.621654510498047,-7.793996334075928,-6.532715320587158,-5.150652885437012,-7.369080066680908,-7.621654510498047,-7.793996334075928,-6.532715320587158,-5.150652885437012,0.0,0.0,0.0,0.0,0.0
12,C,sentential_negation,-5.402513027191162,-5.073101997375488,-4.423101902008057,-5.848415374755859,-5.310128211975098,-6.658698081970215,-5.889342308044434,-4.9119110107421875,-5.969295501708984,-5.687709808349609,1.2561850547790527,0.8162403106689453,0.48880910873413086,0.120880126953125,0.3775815963745117
13,A,sentential_negation,-2.6981406211853027,-2.5076425075531006,-3.032689332962036,-2.8777151107788086,-3.173457145690918,-2.6981406211853027,-2.5076425075531006,-3.032689332962036,-2.8777151107788086,-3.173457145690918,0.0,0.0,0.0,0.0,0.0
13,B,sentential_negation,-7.427063941955566,-7.507347583770752,-6.9977874755859375,-7.23171329498291,-7.670968532562256,-7.427063941955566,-7.507347583770752,-6.9977874755859375,-7.23171329498291,-7.670968532562256,0.0,0.0,0.0,0.0,0.0
13,C,sentential_negation,-8.565523147583008,-8.373847007751465,-7.891639709472656,-8.170860290527344,-8.368071556091309,-8.565523147583008,-8.373847007751465,-7.891639709472656,-8.170860290527344,-8.368071556091309,0.0,0.0,0.0,0.0,0.0
14,A,sentential_negation,-2.0583739280700684,-2.0383949279785156,-2.3326706886291504,-1.9530106782913208,-2.495750904083252,-2.0583739280700684,-2.0383949279785156,-2.3326706886291504,-1.9530106782913208,-2.495750904083252,0.0,0.0,0.0,0.0,0.0
14,B,sentential_negation,-9.655019760131836,-9.27550983428955,-9.152935028076172,-9.176669120788574,-7.599752426147461,-9.655019760131836,-9.27550983428955,-9.152935028076172,-9.176669120788574,-7.599752426147461,0.0,0.0,0.0,0.0,0.0
14,C,sentential_negation,-7.618707656860352,-8.125800132751465,-6.943633556365967,-7.98442268371582,-6.248397350311279,-8.848613739013672,-9.127001762390137,-7.434241771697998,-8.133209228515625,-7.201608657836914,1.2299060821533203,1.0012016296386719,0.49060821533203125,0.1487865447998047,0.9532113075256348
15,A,sentential_negation,-2.9765586853027344,-3.074967861175537,-3.268242359161377,-3.187199354171753,-3.2084827423095703,-2.9765586853027344,-3.074967861175537,-3.268242359161377,-3.187199354171753,-3.2084827423095703,0.0,0.0,0.0,0.0,0.0
