layer,feature_idx,mean_A_hold,mean_B_hold,mean_C_hold,t_AvB_hold,p_AvB_hold,t_AvC_hold,p_AvC_hold,t_BvC_hold,p_BvC_hold,pattern
16,24743,33.379402,0.5020331,2.1794028,30.325317635993038,7.275771981148927e-14,25.296317876719165,4.67511067981484e-15,-1.8194598564547686,0.08828149954439599,SCOPE_SPECIFIC
18,34114,31.499994,1.8588817,0.4509867,19.302013757860927,9.562560746099738e-13,30.673921854254075,1.1648986932378167e-13,1.0672030646723816,0.3080715968501644,SCOPE_SPECIFIC
14,51903,19.034372,0.0,1.1023601,15.986812114157594,6.479054746878451e-08,12.64190179989484,1.5155271720001703e-09,-1.4297983564683825,0.18655678601968786,SCOPE_SPECIFIC
22,6415,62.32295,4.342324,1.8424976,14.111542911710856,8.556519891857425e-11,17.34814671944648,1.0848602871688372e-09,0.8878539766588024,0.39041920713550826,SCOPE_SPECIFIC
20,31666,56.49597,3.1465662,2.4333262,13.70850027467618,1.985608266829892e-10,15.899263189537477,2.0645809103888394e-09,0.2707939082586272,0.79044346120465,SCOPE_SPECIFIC
