layer,feature_idx,mean_A_hold,mean_B_hold,mean_C_hold,t_AvB_hold,p_AvB_hold,t_AvC_hold,p_AvC_hold,t_BvC_hold,p_BvC_hold,pattern
12,64355,12.903107,0.0,0.38619384,13.226327537616621,3.3477645323183274e-07,11.929704466355352,6.379870861457382e-08,-0.9999999579789457,0.34343641539454395,SCOPE_SPECIFIC
12,45152,8.28592,0.0,0.0,4.915212702416375,0.000830059973273341,4.915212702416375,0.000830059973273341,,,SCOPE_SPECIFIC
12,10055,22.0113,8.896419,19.03303,7.071770184223629,3.566570686712991e-06,2.0198036502052643,0.058703626622494745,-5.298530668747904,7.087917848544752e-05,PARTIAL
12,12765,2.3024154,11.38101,1.4025383,-4.636029431612497,0.00038577312992679253,0.6769202056208977,0.5070641051608828,5.105515967251343,0.00016289636203839405,INVERSE
12,33744,4.5911517,0.0,0.41087493,6.651959985847682,9.35284324609158e-05,5.204295698034821,0.00011488395812139851,-0.999999926471253,0.34343642983330636,SCOPE_SPECIFIC
12,6428,0.0,0.4439788,3.6442769,-1.0000000497849149,0.34343637332340615,-3.3444146197483544,0.00859957671681827,-2.719865936382763,0.01872358956651239,INVERSE
12,16009,0.0,7.2001696,0.0,-5.1275845053101206,0.0006215952124278001,,,5.1275845053101206,0.0006215952124278001,INVERSE
12,28745,0.0,4.2842574,0.0,-3.1708082855218707,0.011351220947073318,,,3.1708082855218707,0.011351220947073318,INVERSE
12,14253,0.0,8.459185,0.0,-3.5753924205856156,0.005973638109463024,,,3.5753924205856156,0.005973638109463024,INVERSE
12,56118,0.0,0.0,26.74916,,,-4.459299725443639,0.0015788505362309452,-4.459299725443639,0.0015788505362309452,INVERSE
12,45671,0.0,0.0,4.2996798,,,-3.5574424670915143,0.0061438384366364505,-3.5574424670915143,0.0061438384366364505,INVERSE
12,61961,3.7060819,0.40048447,3.0320265,3.157996457951372,0.008252575510505972,0.44010928388137843,0.6653101012051391,-2.099663924537012,0.059588418552780374,PARTIAL
12,19864,0.0,1.6102121,0.3820805,-1.9515918880560426,0.08275486874064074,-0.999999935175019,0.34343642584470524,1.350707695031393,0.2003829203261414,WEAK
12,47315,0.0,7.6818237,0.6770541,-3.6920661061716937,0.004981409313051088,-0.9999999435934139,0.34343642198687907,3.2014220493412533,0.008540230213127347,INVERSE
12,24351,0.0,4.6334634,0.0,-2.6073817432458872,0.028392407828385095,,,2.6073817432458872,0.028392407828385095,INVERSE
12,18696,4.004058,0.0,0.3059649,3.2242464086307185,0.010418246076812977,2.8914062954586335,0.015931076173327303,-1.0000000361427897,0.3434363795750662,SCOPE_SPECIFIC
12,30958,0.0,0.33176216,1.5150464,-0.9999999320572035,0.34343642727348,-1.7703908073265286,0.11043841729099205,-1.2892226947602925,0.22233963039827087,WEAK
12,38764,0.0,2.5763183,0.0,-2.6803623662954936,0.025191107754005668,,,2.6803623662954936,0.025191107754005668,INVERSE
12,236,1.2309377,1.1860125,0.0,0.04169934410105677,0.9672575648799004,1.3837469533562206,0.19978743320880404,1.951447186798368,0.08277410437021304,WEAK
12,12411,0.40681762,0.0,2.6049564,0.9999999517018318,0.3434364182711035,-1.7356926900052179,0.11039603015994792,-2.1720400343360873,0.05792071600162669,WEAK
14,51903,19.034372,0.0,1.1023601,15.986812114157594,6.479054746878451e-08,12.64190179989484,1.5155271720001703e-09,-1.4297983564683825,0.18655678601968786,SCOPE_SPECIFIC
14,54050,0.0,12.236325,0.0,-7.110693286551822,5.601121063431505e-05,,,7.110693286551822,5.601121063431505e-05,INVERSE
14,12881,26.84473,11.072955,23.31209,7.366574851956716,1.9267488672089876e-06,1.9039611627577884,0.07370083806952554,-5.323960867865558,5.3844766524617645e-05,PARTIAL
14,56839,0.0,4.5071135,1.1194108,-2.7556208143677257,0.02227110214860836,-1.4305015135011825,0.18636077863887163,1.868392560289495,0.08455603084622623,INVERSE
14,33172,0.0,0.0,24.23734,,,-4.409490323052569,0.0016968458148057925,-4.409490323052569,0.0016968458148057925,INVERSE
14,13535,1.9513798,0.0,0.0,2.3546483223466494,0.0429765571213637,2.3546483223466494,0.0429765571213637,,,SCOPE_SPECIFIC
14,19987,0.0,0.0,4.3364344,,,-2.344207659598591,0.043717937859194124,-2.344207659598591,0.043717937859194124,INVERSE
14,48497,2.2994864,0.0,0.0,2.9165267317171946,0.01712834647330938,2.9165267317171946,0.01712834647330938,,,SCOPE_SPECIFIC
14,26196,0.0,4.8242173,0.0,-3.755276182321761,0.004517777681553093,,,3.755276182321761,0.004517777681553093,INVERSE
14,22978,0.0,3.7852333,0.387303,-2.8855024540495555,0.018015778676040227,-1.0000000585055544,0.3434363693270731,2.484247315880215,0.031163347514507965,INVERSE
14,8238,0.0,6.2890015,0.0,-2.613404963201721,0.028113337250928176,,,2.613404963201721,0.028113337250928176,INVERSE
14,21352,4.073205,0.0,0.5986342,2.645523333068764,0.026671194200153597,2.1033242386729034,0.05786284083079073,-0.9999999984685932,0.3434363968396982,PARTIAL
14,17474,4.0784864,0.9323136,1.4358416,2.818616130118076,0.012473457942144849,2.2358465621467936,0.03895114066573563,-0.5216690743074379,0.6084262733169283,SCOPE_SPECIFIC
14,63747,0.0,2.1855397,0.0,-2.4022167053571453,0.03975314051931145,,,2.4022167053571453,0.03975314051931145,INVERSE
14,7073,4.746829,4.254443,0.8373392,0.23587775210679957,0.8161951397911187,2.523405857089717,0.027281140679659296,2.12671538955657,0.055985447287161455,PARTIAL
14,46665,0.0,1.6327088,0.0,-1.9473567956274356,0.0833196114854659,,,1.9473567956274356,0.0833196114854659,WEAK
14,49001,0.0,2.5500042,0.0,-2.297765204808514,0.04717156434508534,,,2.297765204808514,0.04717156434508534,INVERSE
14,59235,2.1720643,0.0,0.0,1.8934442270408032,0.09083499632039697,1.8934442270408032,0.09083499632039697,,,WEAK
14,18006,0.0,2.163723,0.0,-2.376387669471205,0.041472515155646726,,,2.376387669471205,0.041472515155646726,INVERSE
14,2536,12.7766285,7.324313,12.4774885,4.340866688098124,0.00045834718192264666,0.2646863695694055,0.7942892934026677,-3.942896755643938,0.0010033146995194306,PARTIAL
16,24743,33.379402,0.5020331,2.1794028,30.325317635993038,7.275771981148927e-14,25.296317876719165,4.67511067981484e-15,-1.8194598564547686,0.08828149954439599,SCOPE_SPECIFIC
16,12604,4.122618,0.0,0.0,3.2897241702806466,0.009382476534133911,3.2897241702806466,0.009382476534133911,,,SCOPE_SPECIFIC
16,14468,1.1189108,0.0,0.0,1.48509906362226,0.17167781984985464,1.48509906362226,0.17167781984985464,,,WEAK
16,60575,0.0,8.61883,0.0,-3.4633949018045427,0.007122563615502842,,,3.4633949018045427,0.007122563615502842,INVERSE
16,28118,0.0,9.360247,0.6486641,-4.493190014031934,0.0015036017782508806,-0.9999999387969746,0.3434364241849025,3.992729804058443,0.0022179407826104385,INVERSE
16,39724,26.729229,20.600996,18.05629,3.2055452804790305,0.005188354151085814,3.7075761411494668,0.0016774145970836543,1.1889377827824612,0.2523011875349773,SCOPE_SPECIFIC
16,63777,0.0,7.569542,0.0,-4.474045515375314,0.0015456258343019686,,,4.474045515375314,0.0015456258343019686,INVERSE
16,44439,0.0,0.0,20.847158,,,-4.395708569255312,0.001731133967777773,-4.395708569255312,0.001731133967777773,INVERSE
16,25470,3.4968686,0.0,0.0,2.3155758456691276,0.045816433810171725,2.3155758456691276,0.045816433810171725,,,SCOPE_SPECIFIC
16,6370,0.0,0.7130043,2.9500706,-1.0000000041325376,0.34343639424413064,-3.426777603329684,0.007546595759623307,-2.001291025936337,0.06121115465366187,INVERSE
